name,knob_center_x,knob_center_y,knob_ref,button_trigger_a,button_rest_a,button_trigger_b,button_rest_b
Controller A,565.92,573.88,-2.0297034,531.6,488.85,544.0,491.5
Controller B,505.32144,509.5357,1.0406753,553.6,462.1,540.6,464.1
